"Qty","Reference","Value","Mouser Part Number","Mouser Price/Stock","Datasheet"
"1","AE1","UFL","","","https://www.molex.com/en-us/products/part-detail-pdf/734120110?display=pdf"
"1","C5","100uF","","","~"
"1","C8","47uF","","","~"
"12","C1,C2,C3,C11,C13,C18,C19,C22,C23,C25,C27,C36","100nF","","","~"
"3","C10,C14,C15","22uF","","","~"
"5","C12,C16,C21,C31,C32","10uF","","","~"
"8","C29,C30,C33,C34,C37,C38,C41,C42","33nF","","","~"
"10","C4,C9,C17,C20,C24,C26,C28,C35,C39,C40","1uF","","","~"
"2","C6,C7","15pF","","","~"
"1","D1","ESDCAN03-2BWY","511-ESDCAN03-2BWY","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/ESDCAN03-2BWY?qs=FqY30PPN9V2iiokjuqa22Q%3D%3D","https://www.mouser.de/datasheet/2/389/esdcan02-2bwy-954689.pdf"
"8","D2,D3,D4,D5,D6,D7,D8,D9","MBR0540T1G","863-MBR0540T1G","https://www.mouser.co.uk/ProductDetail/onsemi/MBR0540T1G?qs=3JMERSakebqeY0cO5%252BUPCQ%3D%3D","https://www.onsemi.com/pub/Collateral/MBR0540T1-D.PDF"
"1","IC1","ESP32-S3-WROOM-1-N8R8","356-EP32S3WROOM1N8R8","https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-S3-WROOM-1-N8R8?qs=7D1LtPJG0i3%2F28hKFavOpQ%3D%3D","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"1","IC2","CP2102N-A02-GQFN28","634-CP2102NA02GQFN28","https://www.mouser.co.uk/ProductDetail/Silicon-Labs/CP2102N-A02-GQFN28?qs=u16ybLDytRaSBkSkyjYFiA%3D%3D","https://componentsearchengine.com/Datasheets/2/CP2102N-A02-GQFN28.pdf"
"1","IC4","TPS563211DRLR","595-TPS563211DRLR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS563211DRLR?qs=QNEnbhJQKvZPf9yhsNn8pg%3D%3D","https://www.ti.com/lit/ds/symlink/tps563211.pdf?ts=1645757213422"
"1","IC6","NEO-F9P-15B","377-NEO-F9P-15B","https://www.mouser.co.uk/ProductDetail/u-blox/NEO-F9P-15B?qs=17ckDYBRdenaqrmuzIvL0A%3D%3D","https://content.u-blox.com/sites/default/files/documents/NEO-F9P-15B_DataSheet_UBX-22021920.pdf"
"2","IC3,IC5","MIC37100-3.3WS","998-MIC37100-3.3WS","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MIC37100-3.3WS?qs=kh6iOki%2FeLGN%252BjivEzt6Eg%3D%3D","https://datasheet.datasheetarchive.com/originals/dk/DKDS-15/281099.pdf"
"1","J1","UART_USB","","","~"
"1","J2","ESP_USB","","","~"
"1","J3","GNSS_Debug","","","~"
"1","J4","Molex_1040310811","","","https://www.hirose.com/en/product/document?clcode=&productname=&series=DM3&documenttype=Catalog&lang=en&documentid=D49662_en"
"2","J5,J6","1-776087-4","","","~"
"1","L1","4.7uH","","","~"
"1","L2","27nH","","","~"
"1","LED2","GREEN","696-SSFLXH100LID01","https://www.mouser.com/ProductDetail/Lumex/SSF-LXH100LGD-01?qs=Ma3pWdXK8s8VBFrsMlBOuw%3D%3D","https://www.lumex.com/spec/SSF-LXH100LID.pdf"
"3","LED1,LED3,LED4","RED","696-SSFLXH100LID01","https://www.mouser.co.uk/ProductDetail/Lumex/SSF-LXH100LID-01?qs=C88QikXmxo6L7xvMs1ej%252BA%3D%3D","https://www.lumex.com/spec/SSF-LXH100LID.pdf"
"1","Q3","MMBT2222LT1G","863-MMBT2222LT1G","https://www.mouser.co.uk/ProductDetail/onsemi/MMBT2222LT1G?qs=HVbQlW5zcXXDmyyswaLspw%3D%3D","https://www.onsemi.com/pub/Collateral/MMBT2222LT1-D.PDF"
"2","Q1,Q2","MMBT2222LT1G","","","https://www.mouser.com/datasheet/2/308/MMBT2222LT1_D-1811600.pdf"
"1","R9","82k","","","~"
"1","R10","11k","","","~"
"1","R11","22.1K","","","~"
"1","R12","1k","","","~"
"1","R13","47.5K","","","~"
"1","R14","120","","","~"
"1","R31","10","","","~"
"1","R34","100k","","","~"
"12","R1,R2,R3,R5,R6,R7,R17,R18,R19,R20,R21,R36","10k","","","~"
"2","R15,R16","27","","","~"
"12","R22,R23,R24,R25,R26,R27,R28,R29,R32,R33,R37,R38","100","","","~"
"4","R4,R8,R30,R35","220","","","~"
"1","TP1","ST_5V","","","~"
"1","TP2","SMPS","","","~"
"1","TP3","GND","","","~"
"1","TP4","ST_5VA","","","~"
"1","TP5","Reset","","","~"
"1","TP6","Safeboot","","","~"
"1","U1","INA260","","","http://www.ti.com/lit/ds/symlink/ina260.pdf"
"1","U3","TPS2116DRL","","","https://www.ti.com/lit/ds/symlink/tps2116.pdf"
"1","U6","TPS2116","","",""
"1","U7","SN65HVD230","","","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf"
"1","U8","ADR425BRZ","","","https://www.analog.com/media/en/technical-documentation/data-sheets/adr420_421_423_425.pdf"
"1","U9","ADC128S102","","",""
"1","U10","EMIF06-MSD02N16","","",""
"3","U2,U4,U5","USBLC6-2SC6","","","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"1","Y1","ECX-.327-CDX-2096","520-X-.327-CDX2096","https://www.mouser.co.uk/ProductDetail/ECS/ECX-.327-CDX-2096?qs=zW32dvEIR3t11RcE3dxOsQ%3D%3D","https://ecsxtal.com/store/pdf/ECX-.327-CDX-2096.pdf"
